Process ID,Process Name,Department,Process Owner,Start Date,End Date,Cycle Time (Hours),Standard Cycle Time,Employee Assigned,Task Volume,Tasks Completed,Productivity %,Error Count,Rework Count,Process Cost,Customer Complaints,SLA Target,SLA Achieved,Process Status,Improvement Opportunity
P001,Invoice Approval,Sales,Anjali,06-05-2025,10-05-2025,96,8,Employee4,396,292,73.74,2,9,11044,4,93,99,Pending,Automate data entry
P002,Order Processing,HR,Priya,29-11-2025,08-12-2025,216,17,Employee8,279,224,80.29,8,0,30079,6,94,74,Delayed,Optimize approval flow
P003,Customer Onboarding,Operations,Mary,17-02-2025,24-02-2025,168,7,Employee12,483,258,53.42,11,9,28055,8,96,72,Delayed,Reduce rework
P004,Vendor Approval,Operations,Pooja,05-07-2025,15-07-2025,240,10,Employee3,73,58,79.45,7,4,24394,7,94,84,Delayed,Process performing well
P005,Report Generation,Finance,Karan,01-07-2025,05-07-2025,96,12,Employee3,361,266,73.68,5,8,19041,7,94,91,Pending,Automate data entry
P006,Report Generation,Sales,Priya,17-01-2025,23-01-2025,144,16,Employee9,83,60,72.29,6,9,22943,8,96,90,Delayed,Automate data entry
P007,Quality Check,Finance,Anjali,13-03-2025,17-03-2025,96,21,Employee18,184,94,51.09,13,9,20225,13,91,71,Delayed,Reduce rework
P008,Invoice Approval,Finance,David,15-12-2025,22-12-2025,168,23,Employee3,247,154,62.35,12,9,32145,8,91,87,Active,Reduce rework
P009,Report Generation,Sales,Anjali,11-08-2025,14-08-2025,72,18,Employee1,419,286,68.26,8,8,20253,7,98,89,Delayed,Automate data entry
P010,Customer Onboarding,Finance,Karan,24-03-2025,02-04-2025,216,20,Employee1,356,195,54.78,10,7,33271,9,90,77,Delayed,Reduce rework
P011,Payroll Processing,Sales,Mary,06-09-2025,08-09-2025,48,21,Employee5,115,52,45.22,15,8,24537,12,98,76,Delayed,Reduce rework
P012,Payment Processing,IT,Karan,13-08-2025,22-08-2025,216,18,Employee4,176,131,74.43,7,1,40358,6,99,77,Delayed,Automate data entry
P013,Order Processing,Sales,John,28-04-2025,30-04-2025,48,5,Employee11,86,64,74.42,7,4,14922,6,99,98,Active,Automate data entry
P014,Customer Onboarding,IT,Sneha,08-04-2025,10-04-2025,48,7,Employee14,231,131,56.71,13,6,23933,9,90,82,Delayed,Reduce rework
P015,Report Generation,Sales,Priya,09-04-2025,13-04-2025,96,21,Employee15,121,72,59.5,13,2,17856,12,98,73,Delayed,Reduce rework
P016,Order Processing,Customer Service,Rahul,08-01-2025,10-01-2025,48,11,Employee6,258,123,47.67,15,7,19906,12,96,70,Delayed,Reduce rework
P017,Data Entry,Operations,Vikram,27-05-2025,03-06-2025,168,21,Employee16,129,90,69.77,6,4,26150,5,95,71,Delayed,Automate data entry
P018,Order Processing,HR,Vikram,15-09-2025,24-09-2025,216,9,Employee2,310,244,78.71,2,2,20993,5,91,88,Pending,Process performing well
P019,Payroll Processing,HR,John,14-11-2025,16-11-2025,48,17,Employee19,339,210,61.95,10,4,23254,8,94,82,Delayed,Reduce rework
